2022038,09_12_13_16_24_32,04
2022039,02_06_07_10_15_20,05
2022040,03_12_14_16_31_33,12
2022041,05_07_21_22_24_29,14
2022042,05_10_11_21_22_30,13
2022043,02_17_20_23_25_27,08
2022044,01_07_08_21_23_29,06
2022045,03_12_17_18_19_28,04
2022046,02_11_24_25_27_30,14
2022047,03_07_08_14_27_30,09
2022048,05_07_17_20_26_31,14
2022049,02_04_07_18_25_26,10
2022050,03_05_08_14_27_33,08
2022051,02_05_11_17_21_33,01
2022052,07_24_27_29_31_32,15
2022053,10_14_18_23_27_33,15
2022054,08_12_21_27_28_33,11
2022055,02_04_09_26_28_33,03
2022056,01_06_11_14_17_26,15
2022057,12_15_20_26_30_33,16
2022058,06_13_14_23_31_33,01
2022059,06_09_18_19_29_33,06
2022060,16_18_19_24_28_32,01
2022061,01_03_16_18_29_33,06
2022062,16_18_20_21_23_33,05
2022063,06_08_09_17_22_31,11
2022064,04_06_12_13_17_31,16
2022065,09_14_18_23_28_31,02
2022066,06_11_14_20_27_30,09
2022067,01_05_13_21_26_29,15
2022068,07_12_15_24_26_29,06
2022069,06_07_13_19_26_29,08
2022070,04_06_09_27_28_33,02
2022071,04_07_15_18_29_33,01
2022072,05_14_15_16_18_32,12
2022073,06_10_14_15_26_29,12
2022074,05_07_15_19_29_33,15
2022075,01_02_04_25_26_30,10
2022076,08_09_10_13_24_29,02
2022077,03_17_18_19_20_27,16
2022078,01_04_05_15_17_31,09
2022079,01_09_15_17_22_23,16
2022080,05_12_15_17_18_27,04
2022081,04_08_11_21_27_30,01
2022082,04_10_11_23_30_32,14
2022083,08_12_13_14_19_20,05
2022084,03_18_23_24_25_32,09
2022085,07_09_14_31_32_33,13
2022086,01_04_08_21_23_24,11
2022087,05_06_09_13_23_25,08
